market,delivery_time,current_time,next_time,gate_closure_time,p_opt,open_now,open_next,committed_old,committed_new,commit_now
ID,2025-10-01 22:45:00+02:00,2025-10-01 20:30:00+02:00,2025-10-01 20:45:00+02:00,2025-10-01 22:30:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 22:45:00+02:00,2025-10-01 20:45:00+02:00,2025-10-01 21:00:00+02:00,2025-10-01 22:30:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 22:45:00+02:00,2025-10-01 21:00:00+02:00,2025-10-01 21:15:00+02:00,2025-10-01 22:30:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 22:45:00+02:00,2025-10-01 21:15:00+02:00,2025-10-01 21:30:00+02:00,2025-10-01 22:30:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 22:45:00+02:00,2025-10-01 21:30:00+02:00,2025-10-01 21:45:00+02:00,2025-10-01 22:30:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 22:45:00+02:00,2025-10-01 21:45:00+02:00,2025-10-01 22:00:00+02:00,2025-10-01 22:30:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 22:45:00+02:00,2025-10-01 22:00:00+02:00,2025-10-01 22:15:00+02:00,2025-10-01 22:30:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 22:45:00+02:00,2025-10-01 22:15:00+02:00,2025-10-01 22:30:00+02:00,2025-10-01 22:30:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 22:45:00+02:00,2025-10-01 22:30:00+02:00,2025-10-01 22:45:00+02:00,2025-10-01 22:30:00+02:00,0.0,True,False,0.0,0.0,True
ID,2025-10-01 22:45:00+02:00,2025-10-01 22:45:00+02:00,2025-10-01 23:00:00+02:00,2025-10-01 22:30:00+02:00,0.0,False,False,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 11:15:00+02:00,2025-10-01 11:30:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 11:30:00+02:00,2025-10-01 11:45:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 11:45:00+02:00,2025-10-01 12:00:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 12:00:00+02:00,2025-10-01 12:15:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 12:15:00+02:00,2025-10-01 12:30:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 12:30:00+02:00,2025-10-01 12:45:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 12:45:00+02:00,2025-10-01 13:00:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 13:00:00+02:00,2025-10-01 13:15:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 13:15:00+02:00,2025-10-01 13:30:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 13:30:00+02:00,2025-10-01 13:45:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 13:45:00+02:00,2025-10-01 14:00:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 14:00:00+02:00,2025-10-01 14:15:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 14:15:00+02:00,2025-10-01 14:30:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 14:30:00+02:00,2025-10-01 14:45:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 14:45:00+02:00,2025-10-01 15:00:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 23:00:00+02:00,2025-10-01 15:00:00+02:00,2025-10-01 15:15:00+02:00,2025-10-01 22:45:00+02:00,0.0,True,True,0.0,0.0,False
